16,8,15,9,10,6,18,3,19,4,5,2,12,14,7,1,13,11,17,402.2555502228826
8,4,12,18,16,5,9,3,14,1,11,10,19,15,6,13,17,7,2,486.20228030112594
8,2,13,16,7,19,15,1,17,4,10,6,5,3,9,18,12,11,14,459.806527048368
6,3,5,17,10,9,2,15,8,18,13,11,12,14,7,1,19,16,4,527.3384242920757
2,15,16,7,8,14,1,17,9,19,4,6,10,13,3,18,5,11,12,171.59201176787664
18,15,17,13,19,16,2,11,10,14,7,12,5,9,4,8,6,3,1,178.68996683485616
10,8,15,5,1,17,16,3,2,12,19,14,9,6,18,7,11,4,13,216.73112465939442
12,18,10,16,15,14,9,7,8,17,2,4,3,13,6,1,11,5,19,472.076505489202
3,14,1,4,11,18,10,15,13,6,7,17,12,16,9,5,8,19,2,136.21824595220298
16,13,4,18,10,1,9,7,6,12,17,11,5,15,2,14,3,19,8,174.80110401604924
15,3,17,2,6,4,19,12,14,8,10,16,1,7,18,5,11,9,13,210.9751841234813
17,6,13,3,8,19,11,10,14,4,9,2,18,5,15,12,7,1,16,218.51306149181937
14,2,15,10,13,17,16,3,12,7,8,18,5,1,9,19,4,11,6,276.5634317101776
10,17,12,3,16,5,19,2,18,13,9,6,15,1,7,4,8,11,14,336.5852800405513
16,11,14,4,7,5,18,10,17,1,2,9,13,8,19,12,3,15,6,341.0248641987605
6,5,13,2,3,9,18,4,10,16,15,8,11,1,7,12,19,17,14,363.1227071405396
6,3,15,10,7,1,13,17,4,16,11,5,8,19,12,14,2,9,18,431.15897447429876
19,9,12,10,15,8,3,4,2,16,17,11,6,18,5,14,13,7,1,546.3377750967766
6,18,12,19,17,8,11,4,1,16,9,10,3,14,5,7,15,2,13,511.88550896241856
7,5,6,9,10,2,13,18,1,16,8,11,12,3,19,4,17,15,14,469.90762715108553
18,3,10,16,6,9,13,12,19,15,5,2,17,1,7,4,8,11,14,492.2523759533279
12,18,2,16,7,10,8,15,4,13,17,5,1,3,6,9,14,11,19,514.5043604302183
9,4,7,8,6,2,5,17,19,14,16,10,12,1,18,3,13,15,11,579.543998277327
18,3,17,10,6,9,2,16,14,7,11,5,1,8,12,4,15,13,19,483.0250024220629
19,16,14,12,7,2,18,15,13,17,10,8,4,5,9,3,1,11,6,486.1731772192113
17,10,1,11,6,14,18,9,19,7,5,4,12,15,13,8,3,2,16,461.2856545104228
